,D2,D5,D7,D10,D14,D15,D19,D27,D31,D32,D36,D38,D39,D47,D48,D49,D54,D56,D61,D62,D64,D66,D67,D69,D74,D75,D84,D87,D95,D99,D103,D107,target
0,0.497009014,0.132955961,0.273166037,0.243143551,0.069,0.362011927,0.107218785,1.0,0.0772,0.0827,0.0,0.162382965,0.150152604,0.234821986,0.0502,0.0,0.0,0.0,0.0117,0.0,0.0,0.0271,0.361513423,0.0753,0.18994076,0.0,0.0455,0.307537416,0.000335,0.599646748,0.34391288,0.749741019,1
1,0.606291476,0.111209018,0.106105063,0.106479993,0.131001081,0.350205883,0.329962154,0.0,0.289240067,0.216709662,0.0,0.119103669,0.0751,0.286386328,0.324514214,0.156568054,0.0634,0.0,0.175271158,0.281709832,0.0,0.161738502,0.161839254,0.268760768,0.280782487,0.187546055,0.180607779,0.433171403,0.0178,0.671556672,0.194330507,0.535919952,1
2,0.480124267,0.209791443,0.356452664,0.352307669,0.0689,0.574628393,0.0733,0.0,0.0324,0.0724,0.0,0.0761,0.22522892,0.2121552,0.0512,0.0,0.0211,0.0,0.0709,0.0718,0.0,0.0,0.156408411,0.0247,0.15363233,0.0396,0.0227,0.351471889,6.93e-05,0.500744749,0.279383727,0.693667686,1
3,0.538824788,0.196344298,0.235605894,0.208988615,0.145946936,0.584688223,0.0877,0.0,0.118561858,0.0,0.0,0.0689,0.0,0.122695518,0.0,0.0,0.0,0.149530594,0.137096314,0.0,0.0,0.0,0.0279,0.0,0.119491803,0.0,0.0,0.296235651,1.5e-05,0.287715317,0.614473461,0.789034411,1
4,0.517794347,0.4947336,0.154361205,0.125177294,0.0949,0.540323487,0.116139833,0.0,0.0541,0.170822438,0.0,0.0199,0.0574,0.0895,0.088,0.117426033,0.0,0.187499999,0.0709,0.0,0.0,0.0,0.0279,0.0878,0.1202832,0.0,0.0751,0.45951448,1.47e-05,0.369526746,0.221730354,0.6371392,0
5,0.771034554,0.122153004,0.267223895,0.330916632,0.158272031,0.362084267,0.179322676,1.0,0.149913666,0.130849045,0.0474,0.0996,0.165689141,0.264724933,0.068,0.0159,0.364726522,0.0,0.0941,0.145004342,0.00507,0.126736835,0.256517019,0.141683667,0.204456504,0.0996,0.0823,0.327712077,0.00127,0.629210422,0.199700519,0.402974807,0
6,0.567401484,0.116577963,0.274886208,0.252415811,0.0921,0.531521626,0.159876143,0.0,0.114303113,0.203794754,0.0,0.150582975,0.22522892,0.264103796,0.0398,0.0391,0.133859384,0.0,0.0399,0.0,0.0,0.217759669,0.286748747,0.0774,0.2782514,0.0,0.0626,0.219669317,0.00321,0.590119933,0.289784437,0.687566511,1
7,0.610056729,0.105176488,0.313393378,0.337261571,0.114517577,0.561910084,0.133413852,1.0,0.218773878,0.0896,0.0,0.0711,0.112614459,0.177614913,0.124443207,0.0321,0.116258333,0.110146179,0.0709,0.143658037,0.0549,0.0464,0.130340334,0.0952,0.204272277,0.0792,0.0835,0.203353556,0.00424,0.575678474,0.235895973,0.676221002,1
8,0.77681636,0.458446302,0.246346614,0.215476142,0.199477786,0.53713596,0.0933,1.0,0.170114456,0.0,0.0,0.0678,0.0,0.112001471,0.128135499,0.0,0.0263,0.152126484,0.225094494,0.0213,0.166666669,0.0,0.0,0.0663,0.0998,0.158757243,0.141854217,0.487132684,6.91e-06,0.294280716,0.160925294,0.574499437,1
9,0.768149572,0.262299145,0.377065484,0.343472244,0.153385485,0.592968743,0.0767,0.0,0.0805,0.0103,0.0,0.043,0.0,0.113289428,0.0508,0.0391,0.124753312,0.0,0.0811,0.0,0.00227,0.0,0.0261,0.122651744,0.0561,0.269035228,0.0311,0.379090093,4.08e-05,0.370370272,0.238238715,0.685133909,0
